,price,action,amount,value,price_increase,value_return
20120523,3.69,N,0,30000.00,0.00,0.00
20120524,3.62,N,0,30000.00,-0.02,0.00
20120525,3.48,N,0,30000.00,-0.06,0.00
20120528,3.47,N,0,30000.00,-0.06,0.00
20120529,3.51,N,0,30000.00,-0.05,0.00
20120530,3.51,N,0,30000.00,-0.05,0.00
20120531,3.53,N,0,30000.00,-0.04,0.00
20120601,3.54,N,0,30000.00,-0.04,0.00
20120604,3.38,N,0,30000.00,-0.08,0.00
20120605,3.39,N,0,30000.00,-0.08,0.00
20120606,3.37,N,0,30000.00,-0.09,0.00
20120607,3.35,N,0,30000.00,-0.09,0.00
20120608,3.36,N,0,30000.00,-0.09,0.00
20120611,3.42,N,0,30000.00,-0.07,0.00
20120612,3.39,B,1400,30000.00,-0.08,0.00
20120613,3.46,N,0,30098.00,-0.06,0.00
20120614,3.44,N,0,30070.00,-0.07,0.00
20120615,3.45,N,0,30084.00,-0.07,0.00
20120618,3.48,N,0,30126.00,-0.06,0.00
20120619,3.45,N,0,30084.00,-0.07,0.00
20120620,3.45,N,0,30084.00,-0.07,0.00
20120625,3.33,N,0,29916.00,-0.10,-0.00
20120626,3.34,N,0,29930.00,-0.09,-0.00
20120627,3.37,N,0,29972.00,-0.09,-0.00
20120628,3.32,N,0,29902.00,-0.10,-0.00
20120629,3.39,N,0,30000.00,-0.08,0.00
20120702,3.39,N,0,30000.00,-0.08,0.00
20120703,3.46,N,0,30098.00,-0.06,0.00
20120704,3.45,N,0,30084.00,-0.07,0.00
20120705,3.36,N,0,29958.00,-0.09,-0.00
20120706,3.44,B,1400,30070.00,-0.07,0.00
20120709,3.36,N,0,29846.00,-0.09,-0.01
20120710,3.32,N,0,29734.00,-0.10,-0.01
20120711,3.33,N,0,29762.00,-0.10,-0.01
20120712,3.32,N,0,29734.00,-0.10,-0.01
20120713,3.23,N,0,29482.00,-0.12,-0.02
20120716,2.94,N,0,28670.00,-0.20,-0.04
20120717,2.96,N,0,28726.00,-0.20,-0.04
20120718,3.00,N,0,28838.00,-0.19,-0.04
20120719,3.03,N,0,28922.00,-0.18,-0.04
20120720,3.03,N,0,28922.00,-0.18,-0.04
20120723,3.03,N,0,28922.00,-0.18,-0.04
20120724,3.04,N,0,28950.00,-0.18,-0.04
20120725,3.06,N,0,29006.00,-0.17,-0.03
20120726,3.08,N,0,29062.00,-0.17,-0.03
20120727,3.06,N,0,29006.00,-0.17,-0.03
20120730,2.96,N,0,28726.00,-0.20,-0.04
20120731,2.88,N,0,28502.00,-0.22,-0.05
20120801,2.92,B,1700,28614.00,-0.21,-0.05
20120802,2.86,N,0,28344.00,-0.22,-0.06
20120803,2.95,N,0,28749.00,-0.20,-0.04
20120806,3.03,N,0,29109.00,-0.18,-0.03
20120807,3.04,N,0,29154.00,-0.18,-0.03
20120808,3.06,N,0,29244.00,-0.17,-0.03
20120809,3.11,N,0,29469.00,-0.16,-0.02
20120810,3.08,N,0,29334.00,-0.17,-0.02
20120813,3.02,N,0,29064.00,-0.18,-0.03
20120814,3.06,N,0,29244.00,-0.17,-0.03
20120815,3.05,N,0,29199.00,-0.17,-0.03
20120816,3.03,N,0,29109.00,-0.18,-0.03
20120817,3.00,B,1600,28974.00,-0.19,-0.03
20120820,3.01,N,0,29035.00,-0.18,-0.03
20120821,3.07,N,0,29401.00,-0.17,-0.02
20120822,3.07,N,0,29401.00,-0.17,-0.02
20120823,3.17,N,0,30011.00,-0.14,0.00
20120824,3.04,S,2000,29218.00,-0.18,-0.03
20120827,3.02,N,0,29136.00,-0.18,-0.03
20120828,3.07,B,1600,29341.00,-0.17,-0.02
20120829,3.08,N,0,29398.00,-0.17,-0.02
20120830,3.02,N,0,29056.00,-0.18,-0.03
20120831,3.04,B,1600,29170.00,-0.18,-0.03
20120903,3.12,N,0,29754.00,-0.15,-0.01
20120904,3.16,N,0,30046.00,-0.14,0.00
20120905,3.21,N,0,30411.00,-0.13,0.01
20120906,3.25,N,0,30703.00,-0.12,0.02
20120907,3.27,N,0,30849.00,-0.11,0.03
20120910,3.27,N,0,30849.00,-0.11,0.03
20120911,3.23,N,0,30557.00,-0.12,0.02
20120912,3.28,N,0,30922.00,-0.11,0.03
20120913,3.18,N,0,30192.00,-0.14,0.01
20120914,3.19,N,0,30265.00,-0.14,0.01
20120917,3.12,N,0,29754.00,-0.15,-0.01
20120918,3.12,N,0,29754.00,-0.15,-0.01
20120919,3.20,N,0,30338.00,-0.13,0.01
20120920,3.07,N,0,29389.00,-0.17,-0.02
20120921,3.05,N,0,29243.00,-0.17,-0.03
20120924,3.07,N,0,29389.00,-0.17,-0.02
20120925,3.04,N,0,29170.00,-0.18,-0.03
20120926,2.96,N,0,28586.00,-0.20,-0.05
20120927,3.02,N,0,29024.00,-0.18,-0.03
20120928,3.07,B,1600,29389.00,-0.17,-0.02
20121008,3.06,N,0,29300.00,-0.17,-0.02
20121009,3.16,N,0,30190.00,-0.14,0.01
20121010,3.19,N,0,30457.00,-0.14,0.02
20121011,3.13,N,0,29923.00,-0.15,-0.00
20121012,3.13,N,0,29923.00,-0.15,-0.00
20121015,3.03,N,0,29033.00,-0.18,-0.03
20121016,3.02,N,0,28944.00,-0.18,-0.04
20121017,3.04,N,0,29122.00,-0.18,-0.03
20121018,3.08,N,0,29478.00,-0.17,-0.02
20121019,3.09,N,0,29567.00,-0.16,-0.01
20121022,3.12,N,0,29834.00,-0.15,-0.01
20121023,3.11,N,0,29745.00,-0.16,-0.01
20121024,3.08,N,0,29478.00,-0.17,-0.02
20121025,3.04,N,0,29122.00,-0.18,-0.03
20121026,3.01,N,0,28855.00,-0.18,-0.04
20121029,3.02,N,0,28944.00,-0.18,-0.04
20121030,3.02,N,0,28944.00,-0.18,-0.04
20121031,3.03,B,0,29033.00,-0.18,-0.03
20121101,3.08,B,0,29478.00,-0.17,-0.02
20121102,3.09,N,0,29567.00,-0.16,-0.01
20121105,3.07,N,0,29389.00,-0.17,-0.02
20121106,3.04,N,0,29122.00,-0.18,-0.03
20121107,3.04,N,0,29122.00,-0.18,-0.03
20121108,2.99,N,0,28677.00,-0.19,-0.04
20121109,2.98,N,0,28588.00,-0.19,-0.05
20121112,3.03,N,0,29033.00,-0.18,-0.03
20121113,2.96,N,0,28410.00,-0.20,-0.05
20121114,2.99,N,0,28677.00,-0.19,-0.04
20121115,2.97,N,0,28499.00,-0.20,-0.05
20121116,2.92,N,0,28054.00,-0.21,-0.06
20121119,2.92,N,0,28054.00,-0.21,-0.06
20121120,2.92,N,0,28054.00,-0.21,-0.06
20121121,2.96,N,0,28410.00,-0.20,-0.05
20121122,2.96,N,0,28410.00,-0.20,-0.05
20121123,2.96,N,0,28410.00,-0.20,-0.05
20121126,2.92,N,0,28054.00,-0.21,-0.06
20121127,2.76,N,0,26630.00,-0.25,-0.11
20121128,2.73,N,0,26363.00,-0.26,-0.12
20121129,2.67,N,0,25829.00,-0.28,-0.14
20121130,2.69,N,0,26007.00,-0.27,-0.13
20121203,2.59,N,0,25117.00,-0.30,-0.16
20121204,2.63,N,0,25473.00,-0.29,-0.15
20121205,2.70,B,0,26096.00,-0.27,-0.13
20121206,2.70,N,0,26096.00,-0.27,-0.13
20121207,2.74,N,0,26452.00,-0.26,-0.12
20121210,2.78,N,0,26808.00,-0.25,-0.11
20121211,2.74,N,0,26452.00,-0.26,-0.12
20121212,2.74,N,0,26452.00,-0.26,-0.12
20121213,2.70,N,0,26096.00,-0.27,-0.13
20121214,2.86,N,0,27520.00,-0.22,-0.08
20121217,2.85,N,0,27431.00,-0.23,-0.09
20121218,2.84,N,0,27342.00,-0.23,-0.09
20121219,2.91,N,0,27965.00,-0.21,-0.07
20121220,3.06,B,0,29300.00,-0.17,-0.02
20121221,3.16,N,0,30190.00,-0.14,0.01
20121224,3.11,N,0,29745.00,-0.16,-0.01
20121225,3.19,N,0,30457.00,-0.14,0.02
20121226,3.32,N,0,31614.00,-0.10,0.05
20121227,3.15,N,0,30101.00,-0.15,0.00
20121228,3.16,N,0,30190.00,-0.14,0.01
20121231,3.16,N,0,30190.00,-0.14,0.01
20130104,3.17,N,0,30279.00,-0.14,0.01
20130107,3.18,N,0,30368.00,-0.14,0.01
20130108,3.20,N,0,30546.00,-0.13,0.02
20130109,3.17,N,0,30279.00,-0.14,0.01
20130110,3.17,N,0,30279.00,-0.14,0.01
20130111,3.10,N,0,29656.00,-0.16,-0.01
20130114,3.21,N,0,30635.00,-0.13,0.02
20130115,3.25,N,0,30991.00,-0.12,0.03
20130116,3.22,N,0,30724.00,-0.13,0.02
20130117,3.18,N,0,30368.00,-0.14,0.01
20130118,3.23,N,0,30813.00,-0.12,0.03
20130121,3.29,N,0,31347.00,-0.11,0.04
20130122,3.19,N,0,30457.00,-0.14,0.02
20130123,3.16,N,0,30190.00,-0.14,0.01
20130124,3.09,N,0,29567.00,-0.16,-0.01
20130125,3.07,N,0,29389.00,-0.17,-0.02
20130128,3.15,N,0,30101.00,-0.15,0.00
20130129,3.16,N,0,30190.00,-0.14,0.01
20130130,3.17,N,0,30279.00,-0.14,0.01
20130131,3.19,N,0,30457.00,-0.14,0.02
20130201,3.21,N,0,30635.00,-0.13,0.02
20130204,3.20,B,0,30546.00,-0.13,0.02
20130205,3.27,N,0,31169.00,-0.11,0.04
20130206,3.33,N,0,31703.00,-0.10,0.06
20130207,3.35,N,0,31881.00,-0.09,0.06
20130208,3.32,N,0,31614.00,-0.10,0.05
20130218,3.31,N,0,31525.00,-0.10,0.05
20130219,3.37,N,0,32059.00,-0.09,0.07
20130220,3.53,N,0,33483.00,-0.04,0.12
20130221,3.40,N,0,32326.00,-0.08,0.08
20130222,3.32,N,0,31614.00,-0.10,0.05
20130225,3.34,N,0,31792.00,-0.09,0.06
20130226,3.28,N,0,31258.00,-0.11,0.04
20130227,3.30,N,0,31436.00,-0.11,0.05
20130228,3.33,N,0,31703.00,-0.10,0.06
20130301,3.40,N,0,32326.00,-0.08,0.08
20130304,3.27,N,0,31169.00,-0.11,0.04
20130305,3.32,N,0,31614.00,-0.10,0.05
20130306,3.37,N,0,32059.00,-0.09,0.07
20130307,3.32,N,0,31614.00,-0.10,0.05
20130308,3.31,N,0,31525.00,-0.10,0.05
20130311,3.33,N,0,31703.00,-0.10,0.06
20130312,3.18,N,0,30368.00,-0.14,0.01
20130313,3.14,N,0,30012.00,-0.15,0.00
20130314,3.14,N,0,30012.00,-0.15,0.00
20130315,3.14,N,0,30012.00,-0.15,0.00
20130318,3.10,N,0,29656.00,-0.16,-0.01
20130319,3.09,N,0,29567.00,-0.16,-0.01
20130320,3.16,N,0,30190.00,-0.14,0.01
20130321,3.17,N,0,30279.00,-0.14,0.01
20130322,3.17,N,0,30279.00,-0.14,0.01
20130325,3.21,N,0,30635.00,-0.13,0.02
20130326,3.17,N,0,30279.00,-0.14,0.01
20130327,3.16,N,0,30190.00,-0.14,0.01
20130328,3.03,N,0,29033.00,-0.18,-0.03
20130329,3.03,N,0,29033.00,-0.18,-0.03
20130401,3.06,N,0,29300.00,-0.17,-0.02
20130402,3.05,N,0,29211.00,-0.17,-0.03
20130403,3.00,N,0,28766.00,-0.19,-0.04
20130408,3.00,N,0,28766.00,-0.19,-0.04
20130409,3.03,N,0,29033.00,-0.18,-0.03
20130410,3.03,N,0,29033.00,-0.18,-0.03
20130411,2.99,N,0,28677.00,-0.19,-0.04
20130412,2.96,N,0,28410.00,-0.20,-0.05
20130415,2.90,N,0,27876.00,-0.21,-0.07
20130416,2.95,N,0,28321.00,-0.20,-0.06
20130417,2.96,B,0,28410.00,-0.20,-0.05
20130418,3.01,N,0,28855.00,-0.18,-0.04
20130419,3.07,N,0,29389.00,-0.17,-0.02
20130422,3.07,N,0,29389.00,-0.17,-0.02
20130423,3.00,N,0,28766.00,-0.19,-0.04
20130424,3.05,N,0,29211.00,-0.17,-0.03
20130425,3.02,N,0,28944.00,-0.18,-0.04
20130426,2.97,N,0,28499.00,-0.20,-0.05
20130502,2.98,N,0,28588.00,-0.19,-0.05
20130503,3.05,N,0,29211.00,-0.17,-0.03
20130506,3.13,N,0,29923.00,-0.15,-0.00
20130507,3.10,N,0,29656.00,-0.16,-0.01
20130508,3.13,B,0,29923.00,-0.15,-0.00
20130509,3.14,N,0,30012.00,-0.15,0.00
20130510,3.16,N,0,30190.00,-0.14,0.01
20130513,3.20,N,0,30546.00,-0.13,0.02
20130514,3.16,N,0,30190.00,-0.14,0.01
20130515,3.22,N,0,30724.00,-0.13,0.02
20130516,3.24,N,0,30902.00,-0.12,0.03
20130517,3.29,N,0,31347.00,-0.11,0.04
20130520,3.36,N,0,31970.00,-0.09,0.07
20130521,3.40,N,0,32326.00,-0.08,0.08
20130522,3.32,N,0,31614.00,-0.10,0.05
20130523,3.29,N,0,31347.00,-0.11,0.04
20130524,3.36,N,0,31970.00,-0.09,0.07
20130527,3.38,N,0,32148.00,-0.08,0.07
20130528,3.39,N,0,32237.00,-0.08,0.07
20130529,3.42,N,0,32504.00,-0.07,0.08
