,price,action,amount,value,price_increase,value_return
20160617,23.97,N,0,30000.00,0.00,0.00
20160620,24.09,N,0,30000.00,0.01,0.00
20160621,24.23,N,0,30000.00,0.01,0.00
20160622,23.71,N,0,30000.00,-0.01,0.00
20160623,22.84,N,0,30000.00,-0.05,0.00
20160624,23.18,N,0,30000.00,-0.03,0.00
20160627,23.50,N,0,30000.00,-0.02,0.00
20160628,25.85,N,0,30000.00,0.08,0.00
20160629,26.62,N,0,30000.00,0.11,0.00
20160630,25.04,N,0,30000.00,0.04,0.00
20160701,25.29,N,0,30000.00,0.06,0.00
20160704,25.45,N,0,30000.00,0.06,0.00
20160705,25.73,N,0,30000.00,0.07,0.00
20160706,25.31,S,0,30000.00,0.06,0.00
20160707,25.59,N,0,30000.00,0.07,0.00
20160708,25.48,N,0,30000.00,0.06,0.00
20160711,24.16,N,0,30000.00,0.01,0.00
20160712,25.04,N,0,30000.00,0.04,0.00
20160713,24.86,N,0,30000.00,0.04,0.00
20160714,24.46,S,0,30000.00,0.02,0.00
20160715,24.34,B,200,30000.00,0.02,0.00
20160718,23.53,N,0,29838.00,-0.02,-0.01
20160719,23.73,N,0,29878.00,-0.01,-0.00
20160720,23.51,N,0,29834.00,-0.02,-0.01
20160721,23.44,N,0,29820.00,-0.02,-0.01
20160722,22.53,N,0,29638.00,-0.06,-0.01
20160725,21.95,N,0,29522.00,-0.08,-0.02
20160726,23.15,N,0,29762.00,-0.03,-0.01
20160727,21.69,N,0,29470.00,-0.10,-0.02
20160728,22.04,N,0,29540.00,-0.08,-0.02
20160729,21.61,N,0,29454.00,-0.10,-0.02
20160801,20.63,N,0,29258.00,-0.14,-0.02
20160802,20.82,N,0,29296.00,-0.13,-0.02
20160803,20.97,N,0,29326.00,-0.13,-0.02
20160804,20.99,N,0,29330.00,-0.12,-0.02
20160805,21.84,B,200,29500.00,-0.09,-0.02
20160808,21.86,N,0,29508.00,-0.09,-0.02
20160809,22.50,N,0,29764.00,-0.06,-0.01
20160810,22.53,N,0,29776.00,-0.06,-0.01
20160811,23.72,N,0,30252.00,-0.01,0.01
20160812,24.05,N,0,30384.00,0.00,0.01
20160815,25.50,N,0,30964.00,0.06,0.03
20160816,24.91,N,0,30728.00,0.04,0.02
20160817,24.47,N,0,30552.00,0.02,0.02
20160818,24.07,N,0,30392.00,0.00,0.01
20160819,24.02,N,0,30372.00,0.00,0.01
20160822,23.33,N,0,30096.00,-0.03,0.00
20160823,23.53,B,200,30176.00,-0.02,0.01
20160824,23.30,N,0,30038.00,-0.03,0.00
20160825,23.64,N,0,30242.00,-0.01,0.01
20160826,23.29,N,0,30032.00,-0.03,0.00
20160829,23.38,S,200,30086.00,-0.02,0.00
20160830,23.84,N,0,30270.00,-0.01,0.01
20160831,24.41,N,0,30498.00,0.02,0.02
20160901,23.49,N,0,30130.00,-0.02,0.00
20160902,23.31,N,0,30058.00,-0.03,0.00
20160905,23.23,N,0,30026.00,-0.03,0.00
20160906,23.17,N,0,30002.00,-0.03,0.00
20160907,22.73,N,0,29826.00,-0.05,-0.01
20160908,22.75,N,0,29834.00,-0.05,-0.01
20160909,22.30,N,0,29654.00,-0.07,-0.01
20160912,21.28,N,0,29246.00,-0.11,-0.03
20160913,21.34,N,0,29270.00,-0.11,-0.02
20160914,21.07,N,0,29162.00,-0.12,-0.03
20160919,21.26,N,0,29238.00,-0.11,-0.03
20160920,21.50,N,0,29334.00,-0.10,-0.02
20160921,21.99,N,0,29530.00,-0.08,-0.02
20160922,21.73,N,0,29426.00,-0.09,-0.02
20160923,21.38,N,0,29286.00,-0.11,-0.02
20160926,20.67,N,0,29002.00,-0.14,-0.03
20160927,21.23,N,0,29226.00,-0.11,-0.03
20160928,21.03,N,0,29146.00,-0.12,-0.03
20160929,21.44,B,200,29310.00,-0.11,-0.02
20160930,21.53,N,0,29364.00,-0.10,-0.02
20161010,21.88,N,0,29574.00,-0.09,-0.01
20161011,21.80,N,0,29526.00,-0.09,-0.02
20161012,21.78,N,0,29514.00,-0.09,-0.02
20161013,21.74,N,0,29490.00,-0.09,-0.02
20161014,21.49,N,0,29340.00,-0.10,-0.02
20161017,20.99,N,0,29040.00,-0.12,-0.03
20161018,22.28,N,0,29814.00,-0.07,-0.01
20161019,22.04,N,0,29670.00,-0.08,-0.01
20161020,21.99,N,0,29640.00,-0.08,-0.01
20161021,22.62,N,0,30018.00,-0.06,0.00
20161024,24.67,N,0,31248.00,0.03,0.04
20161025,24.27,N,0,31008.00,0.01,0.03
20161026,23.75,N,0,30696.00,-0.01,0.02
20161027,23.98,N,0,30834.00,0.00,0.03
20161028,23.75,N,0,30696.00,-0.01,0.02
20161031,23.22,N,0,30378.00,-0.03,0.01
20161101,23.58,N,0,30594.00,-0.02,0.02
20161102,23.63,N,0,30624.00,-0.01,0.02
20161103,24.62,N,0,31218.00,0.03,0.04
20161104,24.44,N,0,31110.00,0.02,0.04
20161107,24.96,N,0,31422.00,0.04,0.05
20161108,25.17,N,0,31548.00,0.05,0.05
20161109,24.43,S,200,31104.00,0.02,0.04
20161110,25.33,N,0,31464.00,0.06,0.05
20161111,26.93,N,0,32104.00,0.12,0.07
