,price,action,amount,value,price_increase,value_return
20111013,8.54,N,0,30000.00,0.00,0.00
20111014,8.44,N,0,30000.00,-0.01,0.00
20111017,8.56,N,0,30000.00,0.00,0.00
20111018,8.32,N,0,30000.00,-0.03,0.00
20111019,8.26,N,0,30000.00,-0.03,0.00
20111020,7.99,N,0,30000.00,-0.06,0.00
20111021,7.98,N,0,30000.00,-0.07,0.00
20111024,8.08,N,0,30000.00,-0.05,0.00
20111025,8.39,N,0,30000.00,-0.02,0.00
20111026,8.49,N,0,30000.00,-0.01,0.00
20111027,8.49,N,0,30000.00,-0.01,0.00
20111028,8.67,N,0,30000.00,0.02,0.00
20111031,8.69,N,0,30000.00,0.02,0.00
20111101,8.83,N,0,30000.00,0.03,0.00
20111102,9.58,B,500,30000.00,0.12,0.00
20111103,9.98,N,0,30200.00,0.17,0.01
20111104,9.78,N,0,30100.00,0.15,0.00
20111107,9.79,N,0,30105.00,0.15,0.00
20111108,9.74,N,0,30080.00,0.14,0.00
20111109,10.45,N,0,30435.00,0.22,0.01
20111110,10.04,N,0,30230.00,0.18,0.01
20111111,9.98,N,0,30200.00,0.17,0.01
20111114,10.11,N,0,30265.00,0.18,0.01
20111115,10.25,N,0,30335.00,0.20,0.01
20111116,9.73,N,0,30075.00,0.14,0.00
20111117,9.74,N,0,30080.00,0.14,0.00
20111118,9.35,S,200,29885.00,0.09,-0.00
20111121,9.47,N,0,29921.00,0.11,-0.00
20111122,9.51,N,0,29933.00,0.11,-0.00
20111123,9.43,N,0,29909.00,0.10,-0.00
20111124,9.63,N,0,29969.00,0.13,-0.00
20111125,9.52,N,0,29936.00,0.11,-0.00
20111128,9.58,N,0,29954.00,0.12,-0.00
20111129,9.79,N,0,30017.00,0.15,0.00
20111130,9.27,N,0,29861.00,0.09,-0.00
20111201,9.45,N,0,29915.00,0.11,-0.00
20111202,9.25,N,0,29855.00,0.08,-0.00
20111205,8.87,N,0,29741.00,0.04,-0.01
20111206,8.97,N,0,29771.00,0.05,-0.01
20111207,9.09,N,0,29807.00,0.06,-0.01
20111208,9.26,N,0,29858.00,0.08,-0.00
20111209,9.28,N,0,29864.00,0.09,-0.00
20111212,9.15,N,0,29825.00,0.07,-0.01
20111213,8.77,N,0,29711.00,0.03,-0.01
20111214,8.61,N,0,29663.00,0.01,-0.01
20111215,8.54,N,0,29642.00,0.00,-0.01
20111216,8.69,N,0,29687.00,0.02,-0.01
20111219,8.57,N,0,29651.00,0.00,-0.01
20111220,8.48,N,0,29624.00,-0.01,-0.01
20111221,8.24,N,0,29552.00,-0.04,-0.01
20111223,8.23,N,0,29549.00,-0.04,-0.02
20111226,8.19,N,0,29537.00,-0.04,-0.02
20111227,7.65,N,0,29375.00,-0.10,-0.02
20111228,7.56,N,0,29348.00,-0.11,-0.02
20111229,7.66,N,0,29378.00,-0.10,-0.02
20111230,7.77,N,0,29411.00,-0.09,-0.02
20120104,7.41,N,0,29303.00,-0.13,-0.02
20120105,6.97,N,0,29171.00,-0.18,-0.03
20120106,7.06,N,0,29198.00,-0.17,-0.03
20120109,7.33,N,0,29279.00,-0.14,-0.02
20120110,7.72,B,600,29396.00,-0.10,-0.02
20120111,7.97,N,0,29621.00,-0.07,-0.01
20120112,7.77,N,0,29441.00,-0.09,-0.02
20120113,7.44,N,0,29144.00,-0.13,-0.03
20120116,7.25,N,0,28973.00,-0.15,-0.03
20120117,7.70,N,0,29378.00,-0.10,-0.02
20120118,7.54,N,0,29234.00,-0.12,-0.03
20120119,7.64,N,0,29324.00,-0.11,-0.02
20120120,7.74,N,0,29414.00,-0.09,-0.02
20120130,7.79,N,0,29459.00,-0.09,-0.02
20120131,7.90,N,0,29558.00,-0.07,-0.01
20120201,7.74,N,0,29414.00,-0.09,-0.02
20120202,7.89,N,0,29549.00,-0.08,-0.02
