,price,action,amount,value,price_increase,value_return
20150402,25.34,N,0,30000.00,0.00,0.00
20150403,27.76,N,0,30000.00,0.10,0.00
20150407,28.46,N,0,30000.00,0.12,0.00
20150408,31.31,N,0,30000.00,0.24,0.00
20150409,32.76,N,0,30000.00,0.29,0.00
20150410,33.39,N,0,30000.00,0.32,0.00
20150413,32.33,N,0,30000.00,0.28,0.00
20150414,31.58,N,0,30000.00,0.25,0.00
20150415,30.13,N,0,30000.00,0.19,0.00
20150416,30.09,N,0,30000.00,0.19,0.00
20150417,30.32,N,0,30000.00,0.20,0.00
20150420,28.39,S,0,30000.00,0.12,0.00
20150421,31.23,N,0,30000.00,0.23,0.00
20150422,32.54,N,0,30000.00,0.28,0.00
20150423,31.87,N,0,30000.00,0.26,0.00
20150424,30.58,N,0,30000.00,0.21,0.00
20150427,30.73,N,0,30000.00,0.21,0.00
20150428,30.50,N,0,30000.00,0.20,0.00
20150429,30.72,N,0,30000.00,0.21,0.00
20150430,30.30,N,0,30000.00,0.20,0.00
20150504,29.71,N,0,30000.00,0.17,0.00
20150505,28.91,N,0,30000.00,0.14,0.00
20150506,28.95,N,0,30000.00,0.14,0.00
20150507,29.11,N,0,30000.00,0.15,0.00
20150508,29.36,N,0,30000.00,0.16,0.00
20150511,30.62,N,0,30000.00,0.21,0.00
20150512,31.53,N,0,30000.00,0.24,0.00
20150513,30.68,N,0,30000.00,0.21,0.00
20150514,30.48,N,0,30000.00,0.20,0.00
20150515,29.28,N,0,30000.00,0.16,0.00
20150518,29.53,N,0,30000.00,0.17,0.00
20150519,32.48,B,100,30000.00,0.28,0.00
20150520,31.67,N,0,29919.00,0.25,-0.00
20150521,32.47,N,0,29999.00,0.28,-0.00
20150522,35.72,N,0,30324.00,0.41,0.01
20150525,37.15,N,0,30467.00,0.47,0.02
20150526,38.49,N,0,30601.00,0.52,0.02
20150527,38.23,N,0,30575.00,0.51,0.02
20150528,36.39,N,0,30391.00,0.44,0.01
20150529,38.51,N,0,30603.00,0.52,0.02
20150601,40.85,N,0,30837.00,0.61,0.03
20150602,40.08,N,0,30760.00,0.58,0.03
20150603,38.71,N,0,30623.00,0.53,0.02
20150604,38.75,N,0,30627.00,0.53,0.02
20150610,38.47,N,0,30599.00,0.52,0.02
20150611,36.99,S,100,30451.00,0.46,0.02
20150612,37.21,N,0,30451.00,0.47,0.02
20150615,36.27,N,0,30451.00,0.43,0.02
20150616,35.20,N,0,30451.00,0.39,0.02
20150617,35.19,N,0,30451.00,0.39,0.02
20150618,33.32,N,0,30451.00,0.31,0.02
20150619,31.67,N,0,30451.00,0.25,0.02
20150623,32.84,N,0,30451.00,0.30,0.02
20150624,34.14,N,0,30451.00,0.35,0.02
20150625,31.90,N,0,30451.00,0.26,0.02
20150626,28.71,N,0,30451.00,0.13,0.02
20150629,26.50,N,0,30451.00,0.05,0.02
20150630,28.90,N,0,30451.00,0.14,0.02
20150701,26.24,N,0,30451.00,0.04,0.02
20150702,25.58,N,0,30451.00,0.01,0.02
20150703,23.25,N,0,30451.00,-0.08,0.02
20150706,24.48,N,0,30451.00,-0.03,0.02
20150707,22.03,N,0,30451.00,-0.13,0.02
20150708,19.83,N,0,30451.00,-0.22,0.02
20150709,21.81,N,0,30451.00,-0.14,0.02
20150710,23.99,N,0,30451.00,-0.05,0.02
20150713,25.28,N,0,30451.00,-0.00,0.02
20150714,23.71,N,0,30451.00,-0.06,0.02
20150715,21.36,N,0,30451.00,-0.16,0.02
20150716,21.41,N,0,30451.00,-0.16,0.02
20150717,22.70,N,0,30451.00,-0.10,0.02
20150720,22.34,N,0,30451.00,-0.12,0.02
20150721,23.24,N,0,30451.00,-0.08,0.02
20150722,22.96,N,0,30451.00,-0.09,0.02
20150723,24.62,N,0,30451.00,-0.03,0.02
20150724,23.53,N,0,30451.00,-0.07,0.02
20150727,21.18,N,0,30451.00,-0.16,0.02
20150728,22.10,N,0,30451.00,-0.13,0.02
20150729,22.17,N,0,30451.00,-0.13,0.02
20150730,21.04,N,0,30451.00,-0.17,0.02
20150731,20.80,B,200,30451.00,-0.18,0.02
20150803,20.44,N,0,30379.00,-0.19,0.01
20150804,21.32,N,0,30555.00,-0.16,0.02
20150805,20.69,N,0,30429.00,-0.18,0.01
20150806,20.18,N,0,30327.00,-0.20,0.01
20150807,20.89,N,0,30469.00,-0.18,0.02
20150810,22.98,B,200,30887.00,-0.09,0.03
20150811,23.44,N,0,31071.00,-0.07,0.04
20150812,23.56,N,0,31119.00,-0.07,0.04
20150813,24.30,N,0,31415.00,-0.04,0.05
20150814,25.11,N,0,31739.00,-0.01,0.06
20150817,24.34,N,0,31431.00,-0.04,0.05
20150818,22.08,N,0,30527.00,-0.13,0.02
20150819,22.57,N,0,30723.00,-0.11,0.02
20150820,21.20,N,0,30175.00,-0.16,0.01
20150821,20.08,N,0,29727.00,-0.21,-0.01
20150824,18.07,N,0,28923.00,-0.29,-0.04
20150825,16.26,N,0,28199.00,-0.36,-0.06
20150826,14.93,N,0,27667.00,-0.41,-0.08
20150827,16.32,N,0,28223.00,-0.36,-0.06
20150828,17.36,N,0,28639.00,-0.31,-0.05
20150831,16.25,N,0,28195.00,-0.36,-0.06
20150901,15.54,N,0,27911.00,-0.39,-0.07
20150902,14.40,N,0,27455.00,-0.43,-0.08
20150907,14.83,N,0,27627.00,-0.41,-0.08
20150908,15.63,N,0,27947.00,-0.38,-0.07
20150909,16.91,N,0,28459.00,-0.33,-0.05
20150910,16.24,N,0,28191.00,-0.36,-0.06
20150911,16.37,B,300,28243.00,-0.35,-0.06
20150914,14.74,N,0,27102.00,-0.42,-0.10
20150915,13.65,N,0,26339.00,-0.46,-0.12
20150916,15.02,N,0,27298.00,-0.41,-0.09
20150917,14.40,N,0,26864.00,-0.43,-0.10
20150918,14.51,N,0,26941.00,-0.43,-0.10
20150921,15.20,N,0,27424.00,-0.40,-0.09
20150922,15.83,N,0,27865.00,-0.38,-0.07
20150923,15.19,N,0,27417.00,-0.40,-0.09
20150924,15.50,N,0,27634.00,-0.39,-0.08
20150925,14.60,N,0,27004.00,-0.42,-0.10
20150928,14.98,N,0,27270.00,-0.41,-0.09
20150929,15.00,N,0,27284.00,-0.41,-0.09
20150930,15.18,B,300,27410.00,-0.40,-0.09
20151008,15.75,B,300,27980.00,-0.38,-0.07
20151009,16.38,N,0,28799.00,-0.35,-0.04
20151012,17.37,N,0,30086.00,-0.31,0.00
20151013,17.19,N,0,29852.00,-0.32,-0.00
20151014,16.92,N,0,29501.00,-0.33,-0.02
20151015,17.51,N,0,30268.00,-0.31,0.01
20151016,18.09,N,0,31022.00,-0.29,0.03
20151019,18.50,N,0,31555.00,-0.27,0.05
20151020,18.74,N,0,31867.00,-0.26,0.06
20151021,17.12,N,0,29761.00,-0.32,-0.01
20151022,17.39,N,0,30112.00,-0.31,0.00
20151023,18.06,N,0,30983.00,-0.29,0.03
20151026,18.37,N,0,31386.00,-0.28,0.05
20151027,18.05,N,0,30970.00,-0.29,0.03
20151028,17.29,N,0,29982.00,-0.32,-0.00
20151029,17.30,N,0,29995.00,-0.32,-0.00
20151030,17.99,N,0,30892.00,-0.29,0.03
20151102,17.36,N,0,30073.00,-0.31,0.00
20151103,17.43,N,0,30164.00,-0.31,0.01
20151104,19.17,N,0,32426.00,-0.24,0.08
20151105,21.08,N,0,34909.00,-0.17,0.16
20151106,23.19,N,0,37652.00,-0.08,0.26
20151109,25.51,N,0,40668.00,0.01,0.36
20151110,28.06,N,0,43983.00,0.11,0.47
20151118,27.43,N,0,43164.00,0.08,0.44
20151119,28.23,N,0,44204.00,0.11,0.47
20151120,27.18,S,400,42839.00,0.07,0.43
20151123,26.65,N,0,42362.00,0.05,0.41
20151124,26.71,N,0,42416.00,0.05,0.41
20151125,27.19,N,0,42848.00,0.07,0.43
20151126,26.07,N,0,41840.00,0.03,0.39
20151127,23.46,N,0,39491.00,-0.07,0.32
20151130,24.74,N,0,40643.00,-0.02,0.35
20151201,23.92,N,0,39905.00,-0.06,0.33
20151202,25.84,N,0,41633.00,0.02,0.39
20151203,25.49,N,0,41318.00,0.01,0.38
20151204,25.08,N,0,40949.00,-0.01,0.36
20151207,24.55,N,0,40472.00,-0.03,0.35
20151208,23.72,N,0,39725.00,-0.06,0.32
20151209,23.65,N,0,39662.00,-0.07,0.32
20151210,24.84,N,0,40733.00,-0.02,0.36
20151211,26.58,N,0,42299.00,0.05,0.41
20151214,29.24,N,0,44693.00,0.15,0.49
20151215,30.21,N,0,45566.00,0.19,0.52
20151216,31.22,N,0,46475.00,0.23,0.55
20151217,32.07,N,0,47240.00,0.27,0.57
20151218,30.99,N,0,46268.00,0.22,0.54
20151221,30.79,N,0,46088.00,0.22,0.54
20151222,30.99,N,0,46268.00,0.22,0.54
20151223,31.02,N,0,46295.00,0.22,0.54
20151224,28.73,N,0,44234.00,0.13,0.47
20151225,28.97,N,0,44450.00,0.14,0.48
20151228,27.93,N,0,43514.00,0.10,0.45
20151229,29.09,N,0,44558.00,0.15,0.49
20151230,29.42,N,0,44855.00,0.16,0.50
20151231,28.96,N,0,44441.00,0.14,0.48
20160104,26.06,N,0,41831.00,0.03,0.39
20160105,25.99,N,0,41768.00,0.03,0.39
20160106,26.38,N,0,42119.00,0.04,0.40
20160107,23.74,N,0,39743.00,-0.06,0.32
20160108,25.86,B,100,41651.00,0.02,0.39
20160111,24.74,N,0,40531.00,-0.02,0.35
20160112,26.13,N,0,41921.00,0.03,0.40
20160113,26.03,N,0,41821.00,0.03,0.39
20160114,27.13,N,0,42921.00,0.07,0.43
20160115,26.06,N,0,41851.00,0.03,0.40
20160118,25.65,N,0,41441.00,0.01,0.38
20160119,26.84,N,0,42631.00,0.06,0.42
20160120,26.15,N,0,41941.00,0.03,0.40
20160121,23.53,N,0,39321.00,-0.07,0.31
20160122,23.61,N,0,39401.00,-0.07,0.31
20160125,23.45,N,0,39241.00,-0.07,0.31
20160126,21.62,N,0,37411.00,-0.15,0.25
20160127,20.74,N,0,36531.00,-0.18,0.22
20160128,20.51,N,0,36301.00,-0.19,0.21
20160129,21.82,N,0,37611.00,-0.14,0.25
20160201,20.70,N,0,36491.00,-0.18,0.22
20160202,21.19,N,0,36981.00,-0.16,0.23
20160203,20.85,N,0,36641.00,-0.18,0.22
20160204,21.27,N,0,37061.00,-0.16,0.24
20160205,20.42,N,0,36211.00,-0.19,0.21
20160215,19.74,N,0,35531.00,-0.22,0.18
20160216,21.71,N,0,37501.00,-0.14,0.25
20160217,22.01,N,0,37801.00,-0.13,0.26
20160218,21.63,N,0,37421.00,-0.15,0.25
20160219,22.01,N,0,37801.00,-0.13,0.26
20160222,23.14,N,0,38931.00,-0.09,0.30
20160223,22.41,N,0,38201.00,-0.12,0.27
20160224,22.54,N,0,38331.00,-0.11,0.28
20160225,20.30,N,0,36091.00,-0.20,0.20
20160226,20.07,N,0,35861.00,-0.21,0.20
20160229,18.63,N,0,34421.00,-0.26,0.15
20160301,19.48,N,0,35271.00,-0.23,0.18
20160302,20.39,N,0,36181.00,-0.20,0.21
20160303,20.15,N,0,35941.00,-0.20,0.20
20160304,19.44,N,0,35231.00,-0.23,0.17
20160307,19.99,N,0,35781.00,-0.21,0.19
20160308,19.78,N,0,35571.00,-0.22,0.19
20160309,19.83,N,0,35621.00,-0.22,0.19
20160310,19.07,N,0,34861.00,-0.25,0.16
20160311,19.98,N,0,35771.00,-0.21,0.19
20160314,20.67,N,0,36461.00,-0.18,0.22
20160315,20.27,N,0,36061.00,-0.20,0.20
20160316,19.91,N,0,35701.00,-0.21,0.19
20160317,21.21,B,200,37001.00,-0.16,0.23
20160318,22.70,N,0,38789.00,-0.10,0.29
20160321,24.97,N,0,41513.00,-0.01,0.38
20160322,25.30,N,0,41909.00,-0.00,0.40
20160323,26.93,N,0,43865.00,0.06,0.46
20160324,25.06,N,0,41621.00,-0.01,0.39
20160325,24.91,N,0,41441.00,-0.02,0.38
20160328,24.14,N,0,40517.00,-0.05,0.35
20160329,24.38,N,0,40805.00,-0.04,0.36
20160330,25.84,N,0,42557.00,0.02,0.42
20160331,26.08,N,0,42845.00,0.03,0.43
20160401,25.26,N,0,41861.00,-0.00,0.40
20160405,26.27,N,0,43073.00,0.04,0.44
20160406,25.89,N,0,42617.00,0.02,0.42
20160407,24.97,S,400,41513.00,-0.01,0.38
20160408,24.21,N,0,40905.00,-0.04,0.36
20160411,25.41,N,0,41865.00,0.00,0.40
