,price,action,amount,value,price_increase,value_return
20110523,9.13,N,0,30000.00,0.00,0.00
20110524,9.08,N,0,30000.00,-0.01,0.00
20110525,9.05,N,0,30000.00,-0.01,0.00
20110526,8.99,N,0,30000.00,-0.02,0.00
20110527,9.00,N,0,30000.00,-0.01,0.00
20110530,8.56,N,0,30000.00,-0.06,0.00
20110531,8.73,N,0,30000.00,-0.04,0.00
20110601,9.11,N,0,30000.00,-0.00,0.00
20110602,8.87,N,0,30000.00,-0.03,0.00
20110603,8.99,N,0,30000.00,-0.02,0.00
20110607,9.06,N,0,30000.00,-0.01,0.00
20110608,9.07,N,0,30000.00,-0.01,0.00
20110609,8.71,N,0,30000.00,-0.05,0.00
20110610,8.67,N,0,30000.00,-0.05,0.00
20110613,8.67,N,0,30000.00,-0.05,0.00
20110614,8.84,N,0,30000.00,-0.03,0.00
20110615,8.66,N,0,30000.00,-0.05,0.00
20110616,8.73,N,0,30000.00,-0.04,0.00
20110617,8.54,N,0,30000.00,-0.06,0.00
20110620,8.26,N,0,30000.00,-0.10,0.00
20110621,8.35,B,500,30000.00,-0.09,0.00
20110622,8.41,N,0,30030.00,-0.08,0.00
20110623,8.52,N,0,30085.00,-0.07,0.00
20110624,8.75,N,0,30200.00,-0.04,0.01
20110627,8.79,N,0,30220.00,-0.04,0.01
20110628,8.97,N,0,30310.00,-0.02,0.01
20110629,9.05,N,0,30350.00,-0.01,0.01
20110630,9.09,N,0,30370.00,-0.00,0.01
20110701,8.96,N,0,30305.00,-0.02,0.01
20110704,9.13,N,0,30390.00,0.00,0.01
20110705,9.14,N,0,30395.00,0.00,0.01
20110706,9.08,N,0,30365.00,-0.01,0.01
20110707,9.14,N,0,30395.00,0.00,0.01
20110708,9.02,N,0,30335.00,-0.01,0.01
20110711,9.07,N,0,30360.00,-0.01,0.01
20110712,8.81,N,0,30230.00,-0.04,0.01
20110713,9.01,B,500,30330.00,-0.01,0.01
20110714,9.12,N,0,30440.00,-0.00,0.01
20110715,9.19,N,0,30510.00,0.01,0.02
20110718,9.33,N,0,30650.00,0.02,0.02
20110719,9.28,N,0,30600.00,0.02,0.02
20110720,9.22,S,500,30540.00,0.01,0.02
20110721,8.99,N,0,30425.00,-0.02,0.01
20110722,9.24,N,0,30550.00,0.01,0.02
20110725,8.50,N,0,30180.00,-0.07,0.01
20110726,8.48,N,0,30170.00,-0.07,0.01
20110727,8.56,N,0,30210.00,-0.06,0.01
20110728,8.41,N,0,30135.00,-0.08,0.00
20110729,8.39,N,0,30125.00,-0.08,0.00
20110801,8.42,N,0,30140.00,-0.08,0.00
20110802,8.34,N,0,30100.00,-0.09,0.00
20110803,8.40,N,0,30130.00,-0.08,0.00
20110804,8.46,N,0,30160.00,-0.07,0.01
20110805,8.15,N,0,30005.00,-0.11,0.00
20110808,7.38,N,0,29620.00,-0.19,-0.01
20110809,7.22,N,0,29540.00,-0.21,-0.02
20110810,7.39,N,0,29625.00,-0.19,-0.01
20110811,7.47,N,0,29665.00,-0.18,-0.01
20110812,7.90,N,0,29880.00,-0.13,-0.00
