,price,action,amount,value,price_increase,value_return
20110314,7.95,N,0,30000.00,0.00,0.00
20110315,7.69,S,0,30000.00,-0.03,0.00
20110316,7.77,N,0,30000.00,-0.02,0.00
20110317,7.65,N,0,30000.00,-0.04,0.00
20110318,7.68,N,0,30000.00,-0.03,0.00
20110321,7.68,N,0,30000.00,-0.03,0.00
20110322,7.62,N,0,30000.00,-0.04,0.00
20110323,7.84,N,0,30000.00,-0.01,0.00
20110324,7.77,N,0,30000.00,-0.02,0.00
20110325,7.83,N,0,30000.00,-0.02,0.00
20110328,7.76,N,0,30000.00,-0.02,0.00
20110329,7.64,N,0,30000.00,-0.04,0.00
20110330,7.45,N,0,30000.00,-0.06,0.00
20110331,7.38,N,0,30000.00,-0.07,0.00
20110401,7.42,N,0,30000.00,-0.07,0.00
20110406,7.47,N,0,30000.00,-0.06,0.00
20110407,7.47,N,0,30000.00,-0.06,0.00
20110408,7.54,N,0,30000.00,-0.05,0.00
20110411,7.39,N,0,30000.00,-0.07,0.00
20110412,7.65,N,0,30000.00,-0.04,0.00
20110413,7.86,B,600,30000.00,-0.01,0.00
20110414,7.80,N,0,29964.00,-0.02,-0.00
20110415,7.71,N,0,29910.00,-0.03,-0.00
20110418,7.71,N,0,29910.00,-0.03,-0.00
20110419,7.77,N,0,29946.00,-0.02,-0.00
20110420,7.87,B,600,30006.00,-0.01,0.00
20110421,7.81,N,0,29934.00,-0.02,-0.00
20110422,7.67,N,0,29766.00,-0.04,-0.01
20110426,7.26,N,0,29274.00,-0.09,-0.02
20110427,7.07,N,0,29046.00,-0.11,-0.03
20110428,6.96,N,0,28914.00,-0.12,-0.04
20110429,7.07,N,0,29046.00,-0.11,-0.03
20110503,7.14,N,0,29130.00,-0.10,-0.03
20110504,6.85,N,0,28782.00,-0.14,-0.04
20110505,6.90,N,0,28842.00,-0.13,-0.04
20110506,6.84,N,0,28770.00,-0.14,-0.04
20110509,6.96,N,0,28914.00,-0.12,-0.04
20110510,6.95,N,0,28902.00,-0.13,-0.04
20110511,7.05,N,0,29022.00,-0.11,-0.03
20110512,6.99,N,0,28950.00,-0.12,-0.04
20110513,7.06,N,0,29034.00,-0.11,-0.03
20110516,7.07,N,0,29046.00,-0.11,-0.03
20110517,7.04,N,0,29010.00,-0.11,-0.03
20110518,7.07,N,0,29046.00,-0.11,-0.03
20110519,6.91,N,0,28854.00,-0.13,-0.04
20110520,7.21,N,0,29214.00,-0.09,-0.03
20110523,6.88,N,0,28818.00,-0.13,-0.04
20110524,6.72,N,0,28626.00,-0.15,-0.05
20110525,6.59,N,0,28470.00,-0.17,-0.05
20110526,6.62,N,0,28506.00,-0.17,-0.05
20110527,6.47,N,0,28326.00,-0.19,-0.06
20110530,6.27,N,0,28086.00,-0.21,-0.06
20110531,6.45,N,0,28302.00,-0.19,-0.06
20110601,6.88,N,0,28818.00,-0.13,-0.04
20110602,6.92,N,0,28866.00,-0.13,-0.04
20110603,6.89,N,0,28830.00,-0.13,-0.04
20110607,6.76,N,0,28674.00,-0.15,-0.04
20110608,6.68,N,0,28578.00,-0.16,-0.05
20110609,6.52,N,0,28386.00,-0.18,-0.05
20110610,6.50,N,0,28362.00,-0.18,-0.05
20110613,6.40,N,0,28242.00,-0.19,-0.06
20110614,6.46,N,0,28314.00,-0.19,-0.06
20110615,6.45,N,0,28302.00,-0.19,-0.06
20110616,6.29,N,0,28110.00,-0.21,-0.06
20110617,6.22,N,0,28026.00,-0.22,-0.07
20110620,6.20,N,0,28002.00,-0.22,-0.07
20110621,6.30,N,0,28122.00,-0.21,-0.06
20110622,6.29,N,0,28110.00,-0.21,-0.06
20110623,6.33,N,0,28158.00,-0.20,-0.06
20110624,6.45,N,0,28302.00,-0.19,-0.06
20110627,6.49,N,0,28350.00,-0.18,-0.06
20110628,6.51,N,0,28374.00,-0.18,-0.05
20110629,6.36,N,0,28194.00,-0.20,-0.06
20110630,6.45,N,0,28302.00,-0.19,-0.06
20110701,6.46,N,0,28314.00,-0.19,-0.06
20110704,6.61,N,0,28494.00,-0.17,-0.05
20110705,6.66,N,0,28554.00,-0.16,-0.05
20110706,6.61,N,0,28494.00,-0.17,-0.05
20110707,6.58,N,0,28458.00,-0.17,-0.05
20110708,6.54,N,0,28410.00,-0.18,-0.05
20110711,6.57,N,0,28446.00,-0.17,-0.05
20110712,6.47,N,0,28326.00,-0.19,-0.06
20110713,6.60,B,700,28482.00,-0.17,-0.05
20110714,6.78,N,0,28824.00,-0.15,-0.04
20110715,6.71,N,0,28691.00,-0.16,-0.04
20110718,6.69,N,0,28653.00,-0.16,-0.04
20110719,6.58,N,0,28444.00,-0.17,-0.05
20110720,6.62,N,0,28520.00,-0.17,-0.05
20110721,6.52,N,0,28330.00,-0.18,-0.06
20110722,6.54,N,0,28368.00,-0.18,-0.05
20110725,6.22,N,0,27760.00,-0.22,-0.07
20110726,6.24,N,0,27798.00,-0.22,-0.07
20110727,6.32,N,0,27950.00,-0.21,-0.07
20110728,6.27,N,0,27855.00,-0.21,-0.07
20110729,6.21,N,0,27741.00,-0.22,-0.08
20110801,6.45,N,0,28197.00,-0.19,-0.06
20110802,6.26,N,0,27836.00,-0.21,-0.07
20110803,6.19,N,0,27703.00,-0.22,-0.08
20110804,6.23,N,0,27779.00,-0.22,-0.07
20110805,6.04,N,0,27418.00,-0.24,-0.09
20110808,5.51,N,0,26411.00,-0.31,-0.12
20110809,5.40,N,0,26202.00,-0.32,-0.13
20110810,5.60,N,0,26582.00,-0.30,-0.11
20110811,5.65,N,0,26677.00,-0.29,-0.11
20110812,6.22,B,800,27760.00,-0.22,-0.07
20110815,6.21,N,0,27733.00,-0.22,-0.08
20110816,6.10,N,0,27436.00,-0.23,-0.09
20110817,6.02,N,0,27220.00,-0.24,-0.09
20110818,5.98,N,0,27112.00,-0.25,-0.10
20110819,5.78,N,0,26572.00,-0.27,-0.11
20110822,5.69,N,0,26329.00,-0.28,-0.12
20110823,5.87,N,0,26815.00,-0.26,-0.11
20110824,5.84,N,0,26734.00,-0.27,-0.11
20110825,5.93,N,0,26977.00,-0.25,-0.10
20110826,5.93,N,0,26977.00,-0.25,-0.10
20110829,5.91,N,0,26923.00,-0.26,-0.10
20110830,5.86,N,0,26788.00,-0.26,-0.11
20110831,5.79,N,0,26599.00,-0.27,-0.11
20110901,5.81,N,0,26653.00,-0.27,-0.11
20110902,5.67,N,0,26275.00,-0.29,-0.12
20110905,5.51,N,0,25843.00,-0.31,-0.14
20110906,5.53,N,0,25897.00,-0.30,-0.14
20110907,5.62,B,800,26140.00,-0.29,-0.13
20110908,5.54,N,0,25860.00,-0.30,-0.14
20110909,5.62,B,800,26140.00,-0.29,-0.13
20110913,5.49,N,0,25581.00,-0.31,-0.15
20110914,5.56,N,0,25882.00,-0.30,-0.14
20110915,5.56,N,0,25882.00,-0.30,-0.14
20110916,5.57,N,0,25925.00,-0.30,-0.14
20110919,5.44,N,0,25366.00,-0.32,-0.15
20110920,5.43,N,0,25323.00,-0.32,-0.16
20110921,5.60,B,0,26054.00,-0.30,-0.13
20110922,5.41,N,0,25237.00,-0.32,-0.16
20110923,5.37,N,0,25065.00,-0.32,-0.16
20110926,5.29,N,0,24721.00,-0.33,-0.18
20110927,5.36,N,0,25022.00,-0.33,-0.17
20110928,5.25,N,0,24549.00,-0.34,-0.18
20110929,5.11,N,0,23947.00,-0.36,-0.20
20110930,5.15,N,0,24119.00,-0.35,-0.20
20111010,5.08,N,0,23818.00,-0.36,-0.21
20111011,5.09,N,0,23861.00,-0.36,-0.20
20111012,5.29,B,0,24721.00,-0.33,-0.18
20111013,5.52,N,0,25710.00,-0.31,-0.14
20111014,5.48,N,0,25538.00,-0.31,-0.15
20111017,5.54,B,0,25796.00,-0.30,-0.14
20111018,5.60,N,0,26054.00,-0.30,-0.13
20111019,5.67,N,0,26355.00,-0.29,-0.12
20111020,5.48,N,0,25538.00,-0.31,-0.15
20111021,5.41,N,0,25237.00,-0.32,-0.16
20111024,5.40,N,0,25194.00,-0.32,-0.16
20111025,5.79,B,0,26871.00,-0.27,-0.10
20111026,5.78,N,0,26828.00,-0.27,-0.11
20111027,5.77,N,0,26785.00,-0.27,-0.11
20111028,5.80,N,0,26914.00,-0.27,-0.10
20111031,5.81,N,0,26957.00,-0.27,-0.10
20111101,5.82,N,0,27000.00,-0.27,-0.10
20111102,6.01,N,0,27817.00,-0.24,-0.07
20111103,6.00,N,0,27774.00,-0.25,-0.07
20111104,5.99,N,0,27731.00,-0.25,-0.08
20111107,5.89,N,0,27301.00,-0.26,-0.09
20111108,5.71,N,0,26527.00,-0.28,-0.12
20111109,5.86,N,0,27172.00,-0.26,-0.09
20111110,5.83,S,1400,27043.00,-0.27,-0.10
20111111,5.79,N,0,26927.00,-0.27,-0.10
20111114,5.86,N,0,27130.00,-0.26,-0.10
20111115,5.97,N,0,27449.00,-0.25,-0.09
20111116,5.81,N,0,26985.00,-0.27,-0.10
20111117,5.73,N,0,26753.00,-0.28,-0.11
20111118,5.58,N,0,26318.00,-0.30,-0.12
20111121,5.57,N,0,26289.00,-0.30,-0.12
20111122,5.47,N,0,25999.00,-0.31,-0.13
20111123,5.46,N,0,25970.00,-0.31,-0.13
20111124,5.40,N,0,25796.00,-0.32,-0.14
20111125,5.41,N,0,25825.00,-0.32,-0.14
20111128,5.49,N,0,26057.00,-0.31,-0.13
20111129,5.50,N,0,26086.00,-0.31,-0.13
20111130,5.18,N,0,25158.00,-0.35,-0.16
20111201,5.27,N,0,25419.00,-0.34,-0.15
20111202,5.22,N,0,25274.00,-0.34,-0.16
20111205,5.09,N,0,24897.00,-0.36,-0.17
20111206,5.11,N,0,24955.00,-0.36,-0.17
20111207,5.15,N,0,25071.00,-0.35,-0.16
20111208,5.16,N,0,25100.00,-0.35,-0.16
20111209,5.10,N,0,24926.00,-0.36,-0.17
20111212,5.09,N,0,24897.00,-0.36,-0.17
20111213,4.91,N,0,24375.00,-0.38,-0.19
20111214,4.74,N,0,23882.00,-0.40,-0.20
20111215,4.50,N,0,23186.00,-0.43,-0.23
20111216,4.64,B,1000,23592.00,-0.42,-0.21
20111219,4.66,N,0,23670.00,-0.41,-0.21
20111220,4.65,N,0,23631.00,-0.42,-0.21
20111221,4.46,N,0,22890.00,-0.44,-0.24
20111222,4.34,N,0,22422.00,-0.45,-0.25
20111223,4.34,N,0,22422.00,-0.45,-0.25
20111226,4.35,N,0,22461.00,-0.45,-0.25
20111227,4.25,N,0,22071.00,-0.47,-0.26
20111228,4.29,N,0,22227.00,-0.46,-0.26
20111229,4.33,N,0,22383.00,-0.46,-0.25
20111230,4.37,N,0,22539.00,-0.45,-0.25
20120104,4.28,N,0,22188.00,-0.46,-0.26
20120105,4.01,N,0,21135.00,-0.50,-0.30
20120106,4.01,N,0,21135.00,-0.50,-0.30
20120109,4.15,B,1200,21681.00,-0.48,-0.28
20120110,4.36,N,0,22752.00,-0.45,-0.24
20120111,4.36,N,0,22752.00,-0.45,-0.24
20120112,4.45,N,0,23211.00,-0.44,-0.23
20120113,4.28,N,0,22344.00,-0.46,-0.26
20120116,4.07,N,0,21273.00,-0.49,-0.29
20120117,4.31,N,0,22497.00,-0.46,-0.25
20120118,4.40,N,0,22956.00,-0.45,-0.23
20120119,4.39,N,0,22905.00,-0.45,-0.24
20120120,4.43,N,0,23109.00,-0.44,-0.23
20120130,4.38,N,0,22854.00,-0.45,-0.24
20120131,4.35,N,0,22701.00,-0.45,-0.24
20120201,4.32,N,0,22548.00,-0.46,-0.25
20120202,4.39,N,0,22905.00,-0.45,-0.24
20120203,4.47,B,0,23313.00,-0.44,-0.22
20120206,4.54,N,0,23670.00,-0.43,-0.21
20120207,4.42,N,0,23058.00,-0.44,-0.23
20120208,4.53,N,0,23619.00,-0.43,-0.21
20120209,4.54,N,0,23670.00,-0.43,-0.21
20120210,4.58,N,0,23874.00,-0.42,-0.20
20120213,4.68,N,0,24384.00,-0.41,-0.19
20120214,4.62,N,0,24078.00,-0.42,-0.20
20120215,4.72,N,0,24588.00,-0.41,-0.18
20120216,4.97,N,0,25863.00,-0.37,-0.14
20120217,4.84,N,0,25200.00,-0.39,-0.16
20120220,4.82,N,0,25098.00,-0.39,-0.16
20120221,4.92,N,0,25608.00,-0.38,-0.15
20120222,4.96,N,0,25812.00,-0.38,-0.14
20120223,4.92,N,0,25608.00,-0.38,-0.15
20120224,4.98,N,0,25914.00,-0.37,-0.14
20120227,4.99,N,0,25965.00,-0.37,-0.13
20120228,5.05,N,0,26271.00,-0.36,-0.12
20120229,4.92,S,1700,25608.00,-0.38,-0.15
20120301,5.08,N,0,26152.00,-0.36,-0.13
20120302,5.11,N,0,26254.00,-0.36,-0.12
20120305,5.19,N,0,26526.00,-0.35,-0.12
20120306,5.10,N,0,26220.00,-0.36,-0.13
20120307,5.00,N,0,25880.00,-0.37,-0.14
20120308,5.08,N,0,26152.00,-0.36,-0.13
20120309,5.13,N,0,26322.00,-0.35,-0.12
20120312,5.15,N,0,26390.00,-0.35,-0.12
20120313,5.27,N,0,26798.00,-0.34,-0.11
20120314,4.92,N,0,25608.00,-0.38,-0.15
20120315,4.80,N,0,25200.00,-0.40,-0.16
20120316,4.88,N,0,25472.00,-0.39,-0.15
20120319,4.92,N,0,25608.00,-0.38,-0.15
20120320,4.76,N,0,25064.00,-0.40,-0.16
20120321,4.81,N,0,25234.00,-0.39,-0.16
20120322,4.76,N,0,25064.00,-0.40,-0.16
20120323,4.68,N,0,24792.00,-0.41,-0.17
20120326,4.68,N,0,24792.00,-0.41,-0.17
20120327,4.66,N,0,24724.00,-0.41,-0.18
20120328,4.45,N,0,24010.00,-0.44,-0.20
20120329,4.34,N,0,23636.00,-0.45,-0.21
20120330,4.35,N,0,23670.00,-0.45,-0.21
20120405,4.44,N,0,23976.00,-0.44,-0.20
20120406,4.53,N,0,24282.00,-0.43,-0.19
20120409,4.45,N,0,24010.00,-0.44,-0.20
20120410,4.48,N,0,24112.00,-0.44,-0.20
20120411,4.52,N,0,24248.00,-0.43,-0.19
20120412,4.65,B,1000,24690.00,-0.42,-0.18
20120413,4.75,N,0,25130.00,-0.40,-0.16
20120416,4.82,N,0,25438.00,-0.39,-0.15
20120417,4.76,N,0,25174.00,-0.40,-0.16
20120419,4.99,N,0,26186.00,-0.37,-0.13
20120420,4.94,N,0,25966.00,-0.38,-0.13
20120423,4.92,N,0,25878.00,-0.38,-0.14
20120424,4.93,N,0,25922.00,-0.38,-0.14
20120425,5.07,N,0,26538.00,-0.36,-0.12
20120426,4.94,N,0,25966.00,-0.38,-0.13
20120427,4.84,N,0,25526.00,-0.39,-0.15
20120502,4.84,N,0,25526.00,-0.39,-0.15
20120503,4.82,N,0,25438.00,-0.39,-0.15
20120504,4.84,N,0,25526.00,-0.39,-0.15
20120507,4.87,N,0,25658.00,-0.39,-0.14
20120508,4.87,N,0,25658.00,-0.39,-0.14
