,price,action,amount,value,price_increase,value_return
20110427,12.55,N,0,30000.00,0.00,0.00
20110428,12.81,N,0,30000.00,0.02,0.00
20110429,13.04,N,0,30000.00,0.04,0.00
20110503,12.96,N,0,30000.00,0.03,0.00
20110504,12.16,N,0,30000.00,-0.03,0.00
20110505,11.69,N,0,30000.00,-0.07,0.00
20110506,11.68,N,0,30000.00,-0.07,0.00
20110509,11.71,N,0,30000.00,-0.07,0.00
20110510,11.74,N,0,30000.00,-0.06,0.00
20110511,11.88,N,0,30000.00,-0.05,0.00
20110512,11.62,N,0,30000.00,-0.07,0.00
20110513,11.88,N,0,30000.00,-0.05,0.00
20110516,12.38,N,0,30000.00,-0.01,0.00
20110517,12.57,N,0,30000.00,0.00,0.00
20110518,12.63,N,0,30000.00,0.01,0.00
20110519,12.18,N,0,30000.00,-0.03,0.00
20110520,12.03,N,0,30000.00,-0.04,0.00
20110523,11.50,N,0,30000.00,-0.08,0.00
20110524,11.63,N,0,30000.00,-0.07,0.00
20110525,11.43,N,0,30000.00,-0.09,0.00
20110526,11.41,N,0,30000.00,-0.09,0.00
20110527,11.39,N,0,30000.00,-0.09,0.00
20110530,11.35,N,0,30000.00,-0.10,0.00
20110531,11.46,N,0,30000.00,-0.09,0.00
20110601,11.60,N,0,30000.00,-0.08,0.00
20110602,11.38,N,0,30000.00,-0.09,0.00
20110603,11.53,N,0,30000.00,-0.08,0.00
20110607,11.56,N,0,30000.00,-0.08,0.00
20110608,11.35,N,0,30000.00,-0.10,0.00
20110609,10.96,N,0,30000.00,-0.13,0.00
20110610,11.00,N,0,30000.00,-0.12,0.00
20110613,10.93,N,0,30000.00,-0.13,0.00
20110614,10.97,N,0,30000.00,-0.13,0.00
20110615,10.86,N,0,30000.00,-0.13,0.00
20110616,10.46,N,0,30000.00,-0.17,0.00
20110617,10.23,N,0,30000.00,-0.18,0.00
20110620,9.92,N,0,30000.00,-0.21,0.00
20110621,10.19,B,400,30000.00,-0.19,0.00
20110622,10.19,N,0,30000.00,-0.19,0.00
20110623,10.18,N,0,29996.00,-0.19,-0.00
20110624,10.46,N,0,30108.00,-0.17,0.00
20110627,10.60,B,400,30164.00,-0.16,0.01
20110628,10.54,N,0,30116.00,-0.16,0.00
20110629,10.17,N,0,29820.00,-0.19,-0.01
20110630,10.31,N,0,29932.00,-0.18,-0.00
20110701,10.44,N,0,30036.00,-0.17,0.00
20110704,10.60,N,0,30164.00,-0.16,0.01
20110705,10.77,N,0,30300.00,-0.14,0.01
20110706,10.71,N,0,30252.00,-0.15,0.01
20110707,10.97,N,0,30460.00,-0.13,0.02
20110708,10.80,N,0,30324.00,-0.14,0.01
20110711,10.71,N,0,30252.00,-0.15,0.01
20110712,10.45,N,0,30044.00,-0.17,0.00
20110713,10.61,N,0,30172.00,-0.15,0.01
20110714,10.67,N,0,30220.00,-0.15,0.01
20110715,10.91,N,0,30412.00,-0.13,0.01
20110718,11.11,N,0,30572.00,-0.11,0.02
20110719,10.90,N,0,30404.00,-0.13,0.01
20110720,11.08,N,0,30548.00,-0.12,0.02
20110721,10.74,S,400,30276.00,-0.14,0.01
20110722,10.60,N,0,30220.00,-0.16,0.01
20110725,10.31,N,0,30104.00,-0.18,0.00
20110726,10.63,N,0,30232.00,-0.15,0.01
20110727,10.79,N,0,30296.00,-0.14,0.01
20110728,10.70,N,0,30260.00,-0.15,0.01
20110729,10.43,S,200,30152.00,-0.17,0.01
20110801,10.44,N,0,30154.00,-0.17,0.01
20110802,10.23,B,400,30112.00,-0.18,0.00
20110803,10.35,N,0,30184.00,-0.18,0.01
20110804,10.33,N,0,30172.00,-0.18,0.01
20110805,10.10,N,0,30034.00,-0.20,0.00
20110809,9.54,N,0,29698.00,-0.24,-0.01
20110810,9.51,N,0,29680.00,-0.24,-0.01
20110811,9.47,N,0,29656.00,-0.25,-0.01
20110812,9.61,N,0,29740.00,-0.23,-0.01
20110815,9.86,N,0,29890.00,-0.21,-0.00
20110816,9.78,N,0,29842.00,-0.22,-0.01
20110817,9.69,N,0,29788.00,-0.23,-0.01
20110818,9.46,N,0,29650.00,-0.25,-0.01
20110819,9.34,N,0,29578.00,-0.26,-0.01
20110822,9.31,N,0,29560.00,-0.26,-0.01
20110823,9.40,N,0,29614.00,-0.25,-0.01
20110824,9.43,N,0,29632.00,-0.25,-0.01
20110825,9.65,N,0,29764.00,-0.23,-0.01
20110826,9.65,N,0,29764.00,-0.23,-0.01
20110829,9.51,N,0,29680.00,-0.24,-0.01
20110830,9.38,N,0,29602.00,-0.25,-0.01
20110831,9.27,N,0,29536.00,-0.26,-0.02
20110901,9.18,N,0,29482.00,-0.27,-0.02
20110902,9.21,N,0,29500.00,-0.27,-0.02
20110905,8.86,N,0,29290.00,-0.29,-0.02
20110906,9.10,N,0,29434.00,-0.27,-0.02
20110907,9.11,N,0,29440.00,-0.27,-0.02
20110908,8.97,N,0,29356.00,-0.29,-0.02
20110909,8.88,N,0,29302.00,-0.29,-0.02
20110913,8.85,N,0,29284.00,-0.29,-0.02
20110914,8.96,N,0,29350.00,-0.29,-0.02
20110915,9.06,N,0,29410.00,-0.28,-0.02
20110916,9.19,N,0,29488.00,-0.27,-0.02
20110919,9.16,N,0,29470.00,-0.27,-0.02
20110920,9.18,N,0,29482.00,-0.27,-0.02
20110921,9.82,B,500,29866.00,-0.22,-0.00
20110922,9.73,N,0,29767.00,-0.22,-0.01
20110923,9.98,N,0,30042.00,-0.20,0.00
20110926,9.91,N,0,29965.00,-0.21,-0.00
20110927,9.71,N,0,29745.00,-0.23,-0.01
20110928,9.47,N,0,29481.00,-0.25,-0.02
20110929,8.69,N,0,28623.00,-0.31,-0.05
20110930,8.59,N,0,28513.00,-0.32,-0.05
20111010,8.60,N,0,28524.00,-0.31,-0.05
20111011,8.40,N,0,28304.00,-0.33,-0.06
20111012,8.50,N,0,28414.00,-0.32,-0.05
20111013,8.49,N,0,28403.00,-0.32,-0.05
20111014,8.29,N,0,28183.00,-0.34,-0.06
20111017,8.32,N,0,28216.00,-0.34,-0.06
20111018,8.10,N,0,27974.00,-0.35,-0.07
20111019,7.84,N,0,27688.00,-0.38,-0.08
20111020,7.31,N,0,27105.00,-0.42,-0.10
20111021,7.35,N,0,27149.00,-0.41,-0.10
20111024,7.66,N,0,27490.00,-0.39,-0.08
20111025,7.69,N,0,27523.00,-0.39,-0.08
20111026,7.65,N,0,27479.00,-0.39,-0.08
20111027,7.64,N,0,27468.00,-0.39,-0.08
20111028,7.78,N,0,27622.00,-0.38,-0.08
20111031,7.86,N,0,27710.00,-0.37,-0.08
