,price,action,amount,value,price_increase,value_return
20120607,6.74,N,0,30000.00,0.00,0.00
20120608,6.87,N,0,30000.00,0.02,0.00
20120611,6.99,N,0,30000.00,0.04,0.00
20120612,6.79,N,0,30000.00,0.01,0.00
20120613,7.44,N,0,30000.00,0.10,0.00
20120614,7.28,N,0,30000.00,0.08,0.00
20120615,7.43,N,0,30000.00,0.10,0.00
20120618,7.39,N,0,30000.00,0.10,0.00
20120619,7.19,N,0,30000.00,0.07,0.00
20120620,7.33,N,0,30000.00,0.09,0.00
20120621,7.12,N,0,30000.00,0.06,0.00
20120625,6.70,N,0,30000.00,-0.01,0.00
20120626,6.79,N,0,30000.00,0.01,0.00
20120627,6.60,N,0,30000.00,-0.02,0.00
20120629,6.79,N,0,30000.00,0.01,0.00
20120702,6.80,N,0,30000.00,0.01,0.00
20120703,6.78,N,0,30000.00,0.01,0.00
20120704,6.71,N,0,30000.00,-0.00,0.00
20120705,6.41,N,0,30000.00,-0.05,0.00
20120706,6.72,N,0,30000.00,-0.00,0.00
20120709,6.40,N,0,30000.00,-0.05,0.00
20120710,6.38,N,0,30000.00,-0.05,0.00
20120711,6.51,N,0,30000.00,-0.03,0.00
20120712,6.68,N,0,30000.00,-0.01,0.00
20120713,6.47,N,0,30000.00,-0.04,0.00
20120716,6.12,N,0,30000.00,-0.09,0.00
20120717,6.19,N,0,30000.00,-0.08,0.00
20120718,6.22,N,0,30000.00,-0.08,0.00
20120719,6.37,N,0,30000.00,-0.05,0.00
20120720,6.20,N,0,30000.00,-0.08,0.00
20120723,6.14,N,0,30000.00,-0.09,0.00
20120724,6.25,N,0,30000.00,-0.07,0.00
20120725,6.14,N,0,30000.00,-0.09,0.00
20120726,6.19,N,0,30000.00,-0.08,0.00
20120727,6.09,N,0,30000.00,-0.10,0.00
20120730,5.84,N,0,30000.00,-0.13,0.00
20120731,5.52,N,0,30000.00,-0.18,0.00
20120801,5.56,N,0,30000.00,-0.18,0.00
20120802,5.29,N,0,30000.00,-0.22,0.00
20120803,5.58,N,0,30000.00,-0.17,0.00
20120806,5.70,N,0,30000.00,-0.15,0.00
20120807,5.65,N,0,30000.00,-0.16,0.00
20120808,5.68,N,0,30000.00,-0.16,0.00
20120809,5.78,N,0,30000.00,-0.14,0.00
20120810,5.68,N,0,30000.00,-0.16,0.00
20120813,5.37,N,0,30000.00,-0.20,0.00
20120814,5.39,N,0,30000.00,-0.20,0.00
20120815,5.27,N,0,30000.00,-0.22,0.00
20120816,5.29,N,0,30000.00,-0.22,0.00
20120817,5.29,N,0,30000.00,-0.22,0.00
20120820,5.32,N,0,30000.00,-0.21,0.00
20120821,5.38,N,0,30000.00,-0.20,0.00
20120822,5.32,N,0,30000.00,-0.21,0.00
20120823,5.39,N,0,30000.00,-0.20,0.00
20120824,5.34,N,0,30000.00,-0.21,0.00
20120827,4.94,N,0,30000.00,-0.27,0.00
20120828,5.06,N,0,30000.00,-0.25,0.00
20120829,4.96,N,0,30000.00,-0.26,0.00
20120830,5.25,N,0,30000.00,-0.22,0.00
20120831,5.22,N,0,30000.00,-0.23,0.00
20120903,5.37,N,0,30000.00,-0.20,0.00
20120904,5.27,N,0,30000.00,-0.22,0.00
20120905,5.35,B,900,30000.00,-0.21,0.00
20120906,5.42,N,0,30063.00,-0.20,0.00
20120907,5.86,B,800,30459.00,-0.13,0.02
20120910,5.82,N,0,30391.00,-0.14,0.01
20120911,5.78,N,0,30323.00,-0.14,0.01
20120912,5.77,N,0,30306.00,-0.14,0.01
20120913,5.57,N,0,29966.00,-0.17,-0.00
20120914,5.66,B,800,30119.00,-0.16,0.00
20120917,5.45,N,0,29594.00,-0.19,-0.01
20120918,5.38,N,0,29419.00,-0.20,-0.02
20120919,5.46,N,0,29619.00,-0.19,-0.01
20120920,5.26,N,0,29119.00,-0.22,-0.03
20120921,5.19,N,0,28944.00,-0.23,-0.04
20120924,5.25,N,0,29094.00,-0.22,-0.03
20120925,5.25,N,0,29094.00,-0.22,-0.03
20120926,5.20,N,0,28969.00,-0.23,-0.03
20120927,5.65,B,800,30094.00,-0.16,0.00
20120928,5.71,N,0,30292.00,-0.15,0.01
20121008,5.60,N,0,29929.00,-0.17,-0.00
20121009,5.96,N,0,31117.00,-0.12,0.04
20121010,5.97,N,0,31150.00,-0.11,0.04
20121011,5.84,N,0,30721.00,-0.13,0.02
20121012,5.90,N,0,30919.00,-0.12,0.03
20121015,5.98,N,0,31183.00,-0.11,0.04
20121016,5.88,N,0,30853.00,-0.13,0.03
20121017,5.96,N,0,31117.00,-0.12,0.04
20121018,6.14,N,0,31711.00,-0.09,0.06
20121019,6.10,N,0,31579.00,-0.09,0.05
20121022,6.06,N,0,31447.00,-0.10,0.05
20121023,5.75,N,0,30424.00,-0.15,0.01
20121024,5.66,N,0,30127.00,-0.16,0.00
20121025,5.60,S,1100,29929.00,-0.17,-0.00
20121026,5.55,B,900,29819.00,-0.18,-0.01
20121029,5.53,N,0,29757.00,-0.18,-0.01
20121030,5.59,N,0,29943.00,-0.17,-0.00
20121031,5.65,N,0,30129.00,-0.16,0.00
20121101,5.87,N,0,30811.00,-0.13,0.03
20121102,5.90,N,0,30904.00,-0.12,0.03
20121105,5.87,N,0,30811.00,-0.13,0.03
